twitter,domain,name,type
CapitalOne_Cup,capitalonecup.co.uk,Capital One Cup,sports
CBCOlympics,cbc.ca,CBC Olympics,sports
GoHeels,GoHeels.com,UNC Tar Heels,sports
NCAAsoftball,ncaa.com,NCAA Softball,sports
HamedHaddadi15,,Hamed Haddadi,sports
Tokyo2020jp,tokyo2020.jp,Tokyo 2020,sports
elchecfoficial,elchecf.es,Elche Club de Fútbol,sports
fc_anji,fc-anji.ru,ФК «Анжи»,sports
EURO2016,euro2016.fr,UEFA EURO 2016,sports
Albirroja,apf.org.py,Selección Paraguaya,sports
atletidekolkata,atleticodekolkata.com,Atlético de Kolkata,sports
RunRocknRoll,RunRocknRoll.com,Rock n Roll Marathon,sports
usavolleyball,usavolleyball.org,USA Volleyball,sports
ORICA_GreenEDGE,greenedgecycling.com,ORICA-GreenEDGE,sports
rio2016_es,rio2016.com,Rio 2016,sports
RyderCupEurope,rydercup.com,Ryder Cup Team EUR,sports
TeamLiquidnet,teamliquid.net,TeamLiquid,sports
MSU_Football,msuspartans.com,Spartan Football,sports
tinkoff_saxo,tinkoffsaxo.com,Tinkoff Saxo,sports
ScottishFA,scottishfa.co.uk,Scottish FA,sports
tiburonesrojos,Tiburones-Rojos.com,Tiburones Rojos _/)_,sports
HomeOfCricket,lords.org,"Lord's Ground",sports
ghanafaofficial,ghanafa.org,Ghana FA,sports
ParalympicsGB,paralympics.org.uk,ParalympicsGB,sports
NAKMASNGB,nakmas.org.uk,NAKMAS NGB,sports
MWRteam,michaelwaltripracing.com,M. Waltrip Racing ,sports
realmadridfra,realmadrid.com,Real Madrid C.F.,sports
MLBStatoftheDay,MLB.com,MLB Stat of the Day,sports
tvgalo,tvgalo.com.br,TV Galo,sports
NDmbb,und.com,Notre Dame MBB,sports
ManUtd_AR,arabic.manutd.com,مانشستر يونايتد,sports
ALeague,a-league.com.au,Hyundai A-League,sports
fepafut,fepafut.com,FEPAFUT,sports
U_D_Almeria,udalmeriasad.com,UD Almería,sports
FFA,footballaustralia.com.au,Football Australia,sports
rfpl,rfpl.org,РФПЛ,sports
NoticiasMillos,noticiasmillos.net,Millonarios F.C.,sports
ligaindonesia,ligaindonesia.co.id,ligaindonesia,sports
baloncestofeb,feb.es,FEB,sports
BCFC,bcfc.com,Birmingham City FC,sports
dcfcofficial,dcfc.co.uk,Derby County,sports
deporguada,deportivoguadalajara.es,C.D. Guadalajara,sports
catleticomg,sougalo.com,Atlético Mineiro,sports
MCFCEspanol,espanol.mcfc.com,Manchester City FC,sports
BBC2012,bbc.co.uk,BBC 2012,sports
cordobacfsad,cordobacf.com,Córdoba CF,sports
EAGuingamp,eaguingamp.com,En Avant de Guingamp,sports
DCCheerleaders,dallascowboyscheerleaders.com,Cowboys Cheerleaders,sports
usatf,usatf.org,USATF,sports
khl,khl.ru,KHL,sports
SassuoloUS,sassuolocalcio.it,U.S. Sassuolo,sports
TimbersFC,timbers.com,Portland Timbers,sports
escuderiatelmex,escuderiatelmex.com,Escudería Telmex,sports
1_fc_nuernberg,fcn.de,1. FC Nürnberg,sports
NGSuperEagles,thenff.com,Nigeria Super Eagles,sports
pzpn_pl,pzpn.pl,PZPN,sports
Coninews,,CONI,sports
USAWrestling,themat.com,USA Wrestling,sports
AMR_Official,astonmartinracing.com,Aston Martin Racing,sports
kr_motorsports,kr-motorsports.ch,kr-motorsports,sports
NFLPA,NFLPA.com,NFLPA,sports
BritishCycling,britishcycling.org.uk,British Cycling,sports
rclensofficiel,rclens.fr,Racing club de Lens,sports
CCP1912oficial,cerro.com.py,Club Cerro Porteño,sports
PBR,pbr.com,PBR,sports
RealZaragoza,realzaragoza.com,Real Zaragoza,sports
SeleVinotinto,federacionvenezolanadefutbol.org,La Vinotinto,sports
ClubTiburones,clubtiburonesrojos.mx,Tiburones Rojos,sports
afcasiancup,afcasiancup.com,AFC Asian Cup,sports
KBFCOfficial,,Kerala Blasters FC,sports
WatfordFC,watfordfc.com,Watford FC,sports
CFBPlayoff,collegefootballplayoff.com,CFBPlayoff,sports
FEDEFUTBOL_CR,fedefutbolcr.com,FEDEFUTBOL,sports
kleague,kleague.com,K LEAGUE,sports
DOSB,dosb.de,DOSB,sports
CagliariCalcio,cagliaricalcio.com,Cagliari Calcio,sports
HerthaBSC,herthabsc.de,Hertha BSC,sports
GSBasketbol,galatasaray.org,Galatasaray Basket,sports
MinerosFc,,Mineros de Zacatecas,sports
TheSMCMixers,,STAR HotShots,sports
bigten,bigten.org,Big Ten Conference,sports
UFC_CA,ufc.com,UFC Canada,sports
gimnasiaoficial,gimnasia.org.ar,GIMNASIA,sports
NBADraft,,NBA Draft,sports
englandcricket,ecb.co.uk,England Cricket,sports
Copa_Argentina,copaargentina.org,Copa Argentina,sports
smliiga,liiga.fi,Liiga,sports
SummerSlam,SummerSlam.com,WWE SummerSlam,sports
luchalibreaaa,luchalibreaaa.com,Lucha Libre AAA,sports
J_League,jleague.jp,Ｊリーグ,sports
ArkRazorbacks,ArkansasRazorbacks.com,Arkansas Razorbacks,sports
afcbournemouth,afcb.co.uk,AFC Bournemouth,sports
CANOBoficial,newellsoldboys.com.ar,"Newell's Old Boys",sports
Team_Penske,teampenske.com,Team Penske,sports
PET_Motorsports,petmos.com.my,PETRONAS Motorsports,sports
AllStarGame,AllStarGame.com,All-Star Game,sports
OneRovers,rovers.co.uk,Blackburn Rovers,sports
Vol_Sports,utsports.com,Tennessee Athletics,sports
LondonMarathon,virginmoneylondonmarathon.com,LondonMarathon,sports
WWEClassics,WWEClassics.com,WWEClassics.com,sports
Millos_FC,,Millonarios F.C,sports
aguilascibaenas,aguilas.com.do,Aguilas Cibaeñas BBC,sports
TheSharksZA,sharksrugby.co.za,The Sharks,sports
LPGA,lpga.com,LPGA,sports
ManUtd_MY,manutd.com,Manchester United,sports
MTLAlouettes,montrealalouettes.com,#AlsMTL,sports
swfc,swfc.co.uk,Sheffield Wednesday,sports
ESPN_Skate,XGames.com,ESPN Skateboarding,sports
WorldRugby7s,worldrugby.org,World Rugby Sevens,sports
ST_SPFC,sociotorcedor.com.br,Sócio Torcedor SPFC,sports
UDLP_Oficial,udlaspalmas.es,UD Las Palmas ,sports
FAIreland,fai.ie,FAI,sports
WorldSBK,worldsbk.com,WorldSBK,sports
calstampeders,stampeders.com,Calgary Stampeders,sports
Wpg_BlueBombers,bluebombers.com,BLUEGOLDS,sports
RCRracing,rcrracing.com,#RCRNation,sports
letouryorkshire,letour.yorkshire.com,Tour de Yorkshire,sports
la_roja,,La Roja,sports
NHRA,nhra.com,#NHRA,sports
EuroQualifiers,uefa.to,European Qualifiers,sports
LaRoja,anfp.cl,Selección Chilena,sports
BCLions,bclions.com,BC Lions,sports
v8supercars,v8supercars.com.au,V8 Supercars,sports
s04_jp,schalke04.jp,FCシャルケ04,sports
NFLFilms,nflfilms.nfl.com,NFL Films,sports
POREOTICS,poreotics.com,POREOTICS,sports
GreatestMatches,WWEGreatestMatches.com,WWE Greatest Matches,sports
CommGamers_RT,CGEsports.org,Now Sponsoring!,sports
Boro,mfc.co.uk,Middlesbrough FC,sports
cannondalePro,cannondale.com,Cannondale Pro,sports
ToyotaRacing,toyotaracing.com,#ToyotaNation,sports
UFCEurope,ticketmaster.ie,#UFCDublin,sports
OlimpicoCol,coc.org.co,COC,sports
OU_MBBall,SoonerSports.com,Oklahoma Basketball,sports
GiantAlpecin,teamgiantalpecin.com,Team Giant-Alpecin,sports
OficialCAP,,Peñarol OFICIAL,sports
runDisney,runDisney.com,runDisney,sports
OfficialAFC_ID,arsenal.com,OfficialAFC_ID,sports
ringofhonor,rohwrestling.com,ROH Wrestling,sports
TexasSports,TexasSports.com,Texas Longhorns,sports
UlsterRugby,ulsterrugby.com,Ulster Rugby,sports
compLexityLive,compLexityGaming.com,compLexity Gaming,sports
1FSVMainz05,mainz05.de,1. FSV Mainz 05 e.V.,sports
ArnoldSports,arnoldsportsfestival.com,ArnoldSports,sports
nacional,nacional.com.uy,Nacional #45,sports
sktelecom_t1,sksports.net,SK telecom T1,sports
ClubNecaxa,,Club Necaxa,sports
LFC_Arabic,liverpoolfc.com,نادي ليفربول,sports
CATalleresdecba,clubtalleres.com.ar,C.A. Talleres,sports
PorscheRaces,porsche.com,Porsche Motorsport,sports
ChelseaLFC,chelseafc.com,Chelsea Ladies FC,sports
WBCBaseball,worldbaseballclassic.com,WBC Baseball ,sports
sc_freiburg,scfreiburg.com,SC Freiburg,sports
juventusfcid,juventus.com,JuventusFC,sports
CAComms,cricketaustralia.com.au,Cricket Australia,sports
SJEarthquakes,sjearthquakes.com,San Jose Earthquakes,sports
ColumbusCrewSC,ColumbusCrewSC.com,Columbus Crew SC,sports
TeamLiquidLoL,teamliquidpro.com,Team Liquid LoL,sports
palmeirasavanti,avantipalmeiras.com.br,Avanti Palmeiras,sports
LeicesterTigers,leicestertigers.com,Leicester Tigers,sports
ChennaiyinFC,indiansuperleague.com,Chennaiyin FC,sports
FIFANewsBrasil,fifa2014.gameswebdir.com,FIFA News,sports
ClubALoficial,,Club Alianza Lima,sports
FIAWEC,fiawec.com,FIA WEC,sports
IIHFHockey,iihf.com,IIHF,sports
dcunited,dcunited.com,D.C. United,sports
realsporting,realsporting.com,Real Sporting,sports
FranceOlympique,franceolympique.com,France Olympique,sports
USC_Athletics,usctrojans.com,USC Trojans,sports
fcstpauli,fcstpauli.com,FC St. Pauli,sports
CDOlimpia,ClubOlimpia.com,Club Olimpia,sports
CARCoficial,rosariocentral.com,Rosario Central,sports
solotigres,solotigres.com,SoloTigres,sports
UConnHuskies,UConnHuskies.com,UConn Huskies,sports
NFLPlayersInc,nflpa.com,NFL Players Inc.,sports
ClemsonTigers,clemsontigers.com,Clemson Athletics,sports
volei,cbv.com.br,CBV,sports
TheSunDevils,thesundevils.com,Sun Devil Athletics,sports
thecgf,thecgf.com,Commonwealth Games,sports
DubaiSC,dubaisportscouncil.ae,مجلس دبي الرياضي,sports
LigaBBVA_ENG,ligabbva.com,Liga BBVA English,sports
FCAugsburg,fcaugsburg.de,FC Augsburg,sports
HailStateFB,,MSU Football,sports
theafcdotcom,the-afc.com,The-AFC.com,sports
LottoJumbo_road,teamlottojumbo.nl,LottoNLJumbo Cycling,sports
fctwente,fctwente.nl,FC Twente,sports
Belgrano,belgranocordoba.com,Belgrano ,sports
USLacrosse,uslacrosse.org,US Lacrosse,sports
americascup,americascup.com,"America's Cup",sports
OfficialBWFC,bwfc.co.uk,Bolton Wanderers FC,sports
kazan2013ru,kazan2013.ru,Универсиада 2013,sports
achtzehn99,achtzehn99.de,TSG 1899 Hoffenheim,sports
TotallyMUFC,twitter.com,Totally Man Utd™,sports
FAWales,faw.cymru,FAWales,sports
GoCards,GoCards.com,Louisville Athletics,sports
TeamLiquidPro,teamliquidpro.com,TeamLiquidPRO,sports
F1TotalOfficiel,,Total F1,sports
FIVBVolleyball,fivb.org,FIVB,sports
RealEsparta,,RealEsparta™,sports
rscanderlecht,rsca.be,RSC Anderlecht,sports
ACAjaccio,ac-ajaccio.com,AC Ajaccio,sports
MillonariosDC_,,Millonarios FC,sports
Paralympic,paralympic.org,Paralympic Games,sports
Federugby,federugby.it,Italrugby,sports
Irelandcricket,cricketireland.ie,Cricket Ireland,sports
JoeGibbsRacing,joegibbsracing.com,Joe Gibbs Racing,sports
NBAIndia,nba.com,NBAIndia,sports
VAFCofficiel,va-fc.com,Valenciennes FC,sports
ncaawrestling,ncaa.com,NCAA Wrestling,sports
Dorados,DoradosFC.com.mx,Dorados de Sinaloa,sports
ChicagoFire,chicago-fire.com,Chicago Fire,sports
TeamVirtuspro,virtus.pro,Team Virtus.pro,sports
uk_sport,uksport.gov.uk,UK Sport,sports
BlueBullsRugby,vodacombulls.co.za,Official Blue Bulls ,sports
SoccerSix,dunknfunk.com,Soccer Six,sports
CitroenRacing,citroenracing.com,Citroën Racing,sports
CheerAthletics,cheerathletics.com,Cheer Athletics,sports
FormulaDrift,formulad.com,Formula Drift,sports
BritAthletics,britishathletics.org.uk,British Athletics,sports
RyderCupUSA,rydercup.com,Ryder Cup Team USA,sports
SpecialOlympics,specialolympics.org,Special Olympics,sports
MiamiHurricanes,HurricaneSports.com,Miami Hurricanes,sports
BritishTennis,lta.org.uk,British Tennis,sports
MiamiOpenTennis,MiamiOpen.com,Miami Open,sports
CollingwoodFC,collingwoodfc.com.au,Collingwood FC,sports
WWEUK,wwe.com,WWE UK,sports
GopherSports,gophersports.com,Minnesota Gophers,sports
EssendonFC,essendonfc.com.au,Essendon FC,sports
tiburones_net,tiburones.net,TiburonesBBC-Oficial,sports
Masandawana,sundownsfc.com,Mamelodi Sundowns FC,sports
usafootball,usafootball.com,USA Football,sports
DCuencaOficial,clubdeportivocuenca.com,ClubDeportivoCuenca,sports
TitanFighting,TitanFighting.com,Titan FC,sports
SCBragaOficial,scbraga.pt,SC Braga,sports
ClemsonFB,DaboSwinney.com,Clemson Football,sports
BfcOfficialPage,bolognafc.it,Bologna Fc 1909,sports
ASAUSASoftball,ASAUSASoftball.com,ASA and USA Softball,sports
JFR_Racing,johnforceracing.com,John Force Racing,sports
Bolivar_Oficial,clubbolivar.com,Club Bolívar Oficial,sports
ChampionsCup,epcrugby.com,Champions Cup,sports
RCD_Mallorca,rcdmallorca.es,RCD Mallorca,sports
Lotto_Soudal,lottosoudal.be,Lotto Soudal,sports
Versusgamers,vsgamers.es,VS Gamers,sports
FC_Basel,fcb.ch,FC Basel 1893,sports
vanssurf,vanssurf.tumblr.com,Vans Surf Team,sports
NHLPlayerSafety,NHL.com,NHL Player Safety,sports
FCDallas,fcdallas.com,#DecisionDay,sports
atletienglish,en.clubatleticodemadrid.com,Atleti English,sports
teamkstars,keyd.com.br,VivoFibra Keyd Stars,sports
AlShababSaudiFC,,نادي الشباب السعودي,sports
TourofBritain,tourofbritain.co.uk,The Tour of Britain,sports
LonghornNetwork,LonghornNetwork.com,Longhorn Network,sports
PFA,thepfa.com,PFA,sports
NCAAFootball,ncaa.com,NCAA Football,sports
elnacionalec,elnacional.ec,Club El Nacional,sports
FIAformulaE,fiaformulae.com,FIAFormulaE,sports
LFCIndia,liverpoolfc.com,LFC India,sports
DIM_Oficial,dimoficial.com,DIM,sports
NZWarriors,warriors.co.nz,Vodafone Warriors,sports
Rote_Teufel,fck.de,1. FC Kaiserslautern,sports
WBCBoxing,wbcboxing.com,World Boxing Council,sports
nycmarathon,tcsnycmarathon.org,TCS NYC Marathon,sports
sdeibar,sdeibar.com,SD Eibar,sports
usta,usta.com,USTA,sports
PhilaUnion,philadelphiaunion.com,Philadelphia Union,sports
CruzadosSADP,cruzados.cl,Universidad Católica,sports
NFL345,nfl.com,NFL345,sports
ThaiLFC,thailand.liverpoolfc.com,LFC Thailand,sports
DFB_Junioren,dfb.de,DFB-Junioren,sports
Hincha_Azul,,Hincha Azul Emelec,sports
RealSaltLake,RealSaltLake.com,Real Salt Lake,sports
SSFCRABBITOHS,rabbitohs.com.au,South Sydney,sports
INABadminton,badmintonindonesia.org,BADMINTON INDONESIA,sports
AnadoluEfesSK,anadoluefessk.org,Anadolu Efes SK,sports
Wyverns_Story,twitter.com,SK wyverns,sports
volvooceanrace,volvooceanrace.com,Volvo Ocean Race,sports
ChapecoenseReal,chapecoense.com,Chapecoense,sports
olimpiaparaguay,olimpiaparaguay.com,Club Olimpia,sports
TheAFCCL,the-afc.com,AFC Champions League,sports
timebrasil,timebrasil.org.br,Time Brasil,sports
worldtriathlon,triathlon.org,World Triathlon,sports
brisbanebroncos,broncos.com.au,Brisbane Broncos,sports
GiantsGaming,Giantsgaming.pro,Giants Gaming,sports
CarltonFC,carltonfc.com.au,Carlton FC,sports
TO2015,toronto2015.org,TORONTO 2015 ,sports
swissteam,swissolympicteam.ch,Swiss Olympic Team,sports
Adelaide_FC,afc.com.au,Adelaide Crows,sports
HNS_CFF,hns-cff.hr,HNS | CFF,sports
usap_officiel,fr.usap.fr,Usap,sports
HondaRacingF1,hondaracingF1.com,Honda Racing F1,sports
GSaray_SK,,Galatasaray SK,sports
palermocalcioit,palermocalcio.it,US Città di Palermo,sports
RepSscNapoli,repubblica.it,Calcio Napoli,sports
NCAAIceHockey,ncaa.com,NCAA Ice Hockey,sports
storm,melbournestorm.com.au,Melbourne Storm,sports
NBA_Spain,,NBA Spain,sports
Catania,calciocatania.it,Calcio Catania,sports
SFV_ASF,football.ch,nationalteams_SFVASF,sports
FRABasketball,ffbb.com,Equipe France Basket,sports
wswanderersfc,wswanderersfc.com.au,WS Wanderers FC,sports
NBAJPN,NBA.com,NBA Japan,sports
screamqueendaff,,Daffney Unger,sports
QSL,qsl.com.qa,Qatar Stars League,sports
Seminoles_com,seminoles.com,Seminole Athletics,sports
SDQUITO,deportivoquito.com,Deportivo Quito,sports
FedCup,fedcup.com,Fed Cup,sports
StarsBBL,melbournestars.com.au,Melbourne Stars,sports
milanomarathon,milanomarathon.it,MilanoMarathon,sports
WBABoxing,wbanews.com,WBA,sports
NewCorinthians,,NewCorinthians,sports
sydneyswans,sydneyswans.com.au,Sydney Swans,sports
ussoccer_ynt,ussoccer.com,U.S. Soccer YNT,sports
HawthornFC,hawthornfc.com.au,Hawthorn FC,sports
NFLUK,nfluk.com,NFLUK,sports
NCAAVolleyball,ncaa.com,NCAA Volleyball,sports
PSG_Sverige,psg.fr,PSG Sverige,sports
official_rfs,rfs.ru,РФС,sports
ECUADORolimpico,coe.org.ec,Comite_Olimpico_Ecu,sports
crusadersrugby,crusaders.co.nz,The Crusaders,sports
SAFA_net,safa.net,SAFA.net,sports
katushacycling,katushateam.com,Katusha Team,sports
qatar_olympic,olympic.qa,Qatar Olympic Team,sports
Lusa_Oficial,portuguesa.com.br,Portuguesa - Oficial,sports
evo2k,evo.shoryuken.com,Evo,sports
atlrs_official,so-net.ne.jp,鹿島アントラーズ　公式,sports
AUSOlympicTeam,olympics.com.au,AUS Olympic Team,sports